alpha_id,expr,sharpe,fitness,turnover,ic_mean
zgMlamd,"ts_regression (ts_zscore(cap,500), ts_zscore(ebit,500),500,rettype = 2)",-0.31,-0.08,0.0193,-0.000964
EN79Y91,"ts_regression (ts_zscore(cap,500), ts_zscore(ebit,500),500,rettype = 3)",-0.02,-0.0,0.0253,-0.00017
lEqoRaO,"ts_regression (ts_zscore(cap,500), ts_zscore(ebit,500),500,rettype = 4)",-0.1,-0.02,0.0158,-0.00072
31b8AA0,"ts_regression (ts_zscore(cap,500), ts_zscore(ebit,500),500,rettype = 5)",0.07,0.01,0.0148,0.00057
0xl1pn6,"ts_regression (ts_zscore(cap,500), ts_zscore(ebit,500),500,rettype = 6)",0.33,0.09,0.0264,0.000714
PxWkgKJ,"ts_regression (ts_zscore(cap,500), ts_zscore(ebit,500),500,rettype = 7)",-0.25,-0.09,0.0167,-0.001981
dYXNaAJ,"ts_regression (ts_zscore(cap,500), ts_zscore(ebit,500),500,rettype = 8)",0.19,0.04,0.0159,0.000719
AeWozbX,"ts_regression (ts_zscore(cap,500), ts_zscore(ebit,500),500,rettype = 9)",-0.1,-0.02,0.0177,-0.000349
ORYljNR,"ts_regression (ts_zscore(cap,500), ts_zscore(ebitda,500),500,rettype = 0)",-0.2,-0.07,0.0736,-0.000422
NLwYd7L,"ts_regression (ts_zscore(cap,500), ts_zscore(ebitda,500),500,rettype = 1)",-0.14,-0.04,0.0197,-0.001086
MdWJJr9,"ts_regression (ts_zscore(cap,500), ts_zscore(ebitda,500),500,rettype = 2)",0.16,0.03,0.026,0.000439
6ZVn8KL,"ts_regression (ts_zscore(cap,500), ts_zscore(ebitda,500),500,rettype = 3)",-0.05,-0.01,0.029,-0.000295
LEaPOMe,"ts_regression (ts_zscore(cap,500), ts_zscore(ebitda,500),500,rettype = 4)",-0.11,-0.02,0.0159,-0.000796
JoEVYGW,"ts_regression (ts_zscore(cap,500), ts_zscore(ebitda,500),500,rettype = 5)",0.02,0.0,0.0149,0.000162
5r0Z6Xk,"ts_regression (ts_zscore(cap,500), ts_zscore(ebitda,500),500,rettype = 6)",0.09,0.01,0.0287,0.000172
kvrx1zL,"ts_regression (ts_zscore(cap,500), ts_zscore(ebitda,500),500,rettype = 7)",-0.27,-0.1,0.017,-0.002176
xV8Kxal,"ts_regression (ts_zscore(cap,500), ts_zscore(ebitda,500),500,rettype = 8)",0.2,0.04,0.0164,0.000726
bJZYR1N,"ts_regression (ts_zscore(cap,500), ts_zscore(ebitda,500),500,rettype = 9)",-0.13,-0.02,0.0185,-0.000478
zg6vA0E,"ts_regression (ts_zscore(cap,500), ts_zscore(equity,500),500,rettype = 0)",-0.04,-0.01,0.077,-8.7e-05
ORP1zJY,"ts_regression (ts_zscore(cap,500), ts_zscore(equity,500),500,rettype = 1)",-0.36,-0.15,0.0201,-0.00212
GXAq5VQ,"ts_regression (ts_zscore(cap,500), ts_zscore(equity,500),500,rettype = 2)",1.38,0.84,0.0224,0.004171
31rMNbe,"ts_regression (ts_zscore(cap,500), ts_zscore(equity,500),500,rettype = 3)",-0.19,-0.07,0.0311,-0.000993
LEaLWNe,"ts_regression (ts_zscore(cap,500), ts_zscore(equity,500),500,rettype = 4)",0.09,0.02,0.0162,0.000654
gXOJpG0,"ts_regression (ts_zscore(cap,500), ts_zscore(equity,500),500,rettype = 5)",0.26,0.1,0.0156,0.00216
lEOe6A8,"ts_regression (ts_zscore(cap,500), ts_zscore(equity,500),500,rettype = 6)",0.37,0.1,0.0279,0.000671
mdRLxL6,"ts_regression (ts_zscore(cap,500), ts_zscore(equity,500),500,rettype = 7)",-0.34,-0.15,0.0182,-0.002727
73b8dbb,"ts_regression (ts_zscore(cap,500), ts_zscore(equity,500),500,rettype = 8)",0.72,0.31,0.0151,0.003144
AeZ1vGQ,"ts_regression (ts_zscore(cap,500), ts_zscore(equity,500),500,rettype = 9)",0.46,0.16,0.0174,0.001712
NLm1PqL,"ts_regression (ts_zscore(cap,500), ts_zscore(enterprise_value,500),500,rettype = 0)",0.73,0.37,0.0661,0.000972
NLm1JmL,"ts_regression (ts_zscore(cap,500), ts_zscore(enterprise_value,500),500,rettype = 1)",-0.64,-0.34,0.0205,-0.003434
pxrwZzj,"ts_regression (ts_zscore(cap,500), ts_zscore(enterprise_value,500),500,rettype = 2)",0.6,0.26,0.0265,0.001716
aeZkmJW,"ts_regression (ts_zscore(cap,500), ts_zscore(enterprise_value,500),500,rettype = 3)",-0.24,-0.11,0.0653,-0.000879
pxrwL6g,"ts_regression (ts_zscore(cap,500), ts_zscore(enterprise_value,500),500,rettype = 4)",0.2,0.06,0.0137,0.001651
XVQmgMx,"ts_regression (ts_zscore(cap,500), ts_zscore(enterprise_value,500),500,rettype = 5)",-0.07,-0.01,0.016,-0.000637
73b7Eab,"ts_regression (ts_zscore(cap,500), ts_zscore(enterprise_value,500),500,rettype = 6)",0.07,0.01,0.0183,0.00032
8V95gbq,"ts_regression (ts_zscore(cap,500), ts_zscore(enterprise_value,500),500,rettype = 7)",0.03,0.0,0.0153,0.00022
29z8Qa5,"ts_regression (ts_zscore(cap,500), ts_zscore(enterprise_value,500),500,rettype = 8)",0.61,0.25,0.019,0.002269
vZMweGw,"ts_regression (ts_zscore(cap,500), ts_zscore(enterprise_value,500),500,rettype = 9)",0.13,0.03,0.0193,0.000599
xV8Onjp,"ts_regression (ts_zscore(cap,500), ts_zscore(eps,500),500,rettype = 0)",-0.38,-0.19,0.0747,-0.000859
aeZjEbR,"ts_regression (ts_zscore(cap,500), ts_zscore(eps,500),500,rettype = 1)",-0.03,-0.0,0.0162,-0.000242
ENWOpPL,"ts_regression (ts_zscore(cap,500), ts_zscore(eps,500),500,rettype = 2)",-0.25,-0.07,0.0219,-0.00083
NLmxNzg,"ts_regression (ts_zscore(cap,500), ts_zscore(eps,500),500,rettype = 3)",0.16,0.05,0.0297,0.000898
vZMwp9r,"ts_regression (ts_zscore(cap,500), ts_zscore(eps,500),500,rettype = 4)",0.07,0.01,0.0163,0.000525
lEOpNZA,"ts_regression (ts_zscore(cap,500), ts_zscore(eps,500),500,rettype = 5)",0.16,0.05,0.0157,0.001349
MdRMJY6,"ts_regression (ts_zscore(cap,500), ts_zscore(eps,500),500,rettype = 6)",-0.33,-0.09,0.0296,-0.00063
31rwQ36,"ts_regression (ts_zscore(cap,500), ts_zscore(eps,500),500,rettype = 7)",-0.32,-0.14,0.0179,-0.002651
oR572J6,"ts_regression (ts_zscore(cap,500), ts_zscore(eps,500),500,rettype = 8)",-0.55,-0.29,0.0213,-0.00316
joRvX3W,"ts_regression (ts_zscore(cap,500), ts_zscore(eps,500),500,rettype = 9)",-0.08,-0.02,0.0225,-0.000399
ORPOn7d,"ts_regression (ts_zscore(cap,500), ts_zscore(debt_lt,500),500,rettype = 0)",-0.23,-0.09,0.0752,-0.000499
6ZV791J,"ts_regression (ts_zscore(cap,500), ts_zscore(debt_lt,500),500,rettype = 1)",0.03,0.0,0.0173,0.000268
73bWG9x,"ts_regression (ts_zscore(cap,500), ts_zscore(debt_lt,500),500,rettype = 2)",-0.06,-0.01,0.0217,-0.000227
AeZ98OE,"ts_regression (ts_zscore(cap,500), ts_zscore(debt_lt,500),500,rettype = 3)",0.03,0.0,0.0292,0.000161
eNwmXJz,"ts_regression (ts_zscore(cap,500), ts_zscore(debt_lt,500),500,rettype = 4)",0.52,0.26,0.0158,0.003815
eNwpm0J,"ts_regression (ts_zscore(cap,500), ts_zscore(debt_lt,500),500,rettype = 5)",0.66,0.37,0.0151,0.005322
dYVXqkw,"ts_regression (ts_zscore(cap,500), ts_zscore(debt_lt,500),500,rettype = 6)",0.38,0.11,0.0301,0.000641
vZMqnE3,"ts_regression (ts_zscore(cap,500), ts_zscore(debt_lt,500),500,rettype = 7)",0.34,0.14,0.0172,0.002591
GXAa3PG,"ts_regression (ts_zscore(cap,500), ts_zscore(debt_lt,500),500,rettype = 8)",0.33,0.09,0.0167,0.001229
lEOqrOl,"ts_regression (ts_zscore(cap,500), ts_zscore(debt_lt,500),500,rettype = 9)",-1.06,-1.08,0.0259,-0.010037
kvr7PNz,"ts_regression (ts_zscore(cap,500), ts_zscore(assets_curr,500),500,rettype = 0)",-0.22,-0.09,0.0767,-0.000522
lEOqv5e,"ts_regression (ts_zscore(cap,500), ts_zscore(assets_curr,500),500,rettype = 1)",0.01,0.0,0.0172,5.5e-05
GXAaW5x,"ts_regression (ts_zscore(cap,500), ts_zscore(assets_curr,500),500,rettype = 2)",0.96,0.48,0.02,0.003061
kvr7vYk,"ts_regression (ts_zscore(cap,500), ts_zscore(assets_curr,500),500,rettype = 3)",0.06,0.01,0.0287,0.000347
VZj9ejY,"ts_regression (ts_zscore(cap,500), ts_zscore(assets_curr,500),500,rettype = 4)",-0.13,-0.04,0.0168,-0.00108
kvr7pJK,"ts_regression (ts_zscore(cap,500), ts_zscore(assets_curr,500),500,rettype = 5)",0.1,0.02,0.0161,0.000909
QOkJ80p,"ts_regression (ts_zscore(cap,500), ts_zscore(assets_curr,500),500,rettype = 6)",0.58,0.22,0.029,0.001213
