alpha_id,expr,sharpe,fitness,turnover,ic_mean
EmjvJ2m,"ts_zscore(debt,252)",-1.17,-0.68,0.088,-0.000953
2GgOqrJ,"ts_zscore(debt_lt,252)",-1.18,-0.67,0.0828,-0.000969
XN3bYa5,"ts_zscore(fnd6_acqgdwl,252)",-1.09,-0.79,0.1073,-0.001237

0GaErqq,assets/cap,0.98,0.99,0.0428,0.005915
5Gm5kEM,liabilities/cap,0.96,0.99,0.0416,0.006329
WYZzeGo,sales/cap,1.07,1.11,0.0426,0.006301
YlVzO6J,operating_income/cap,0.22,0.1,0.0605,0.000878
VMRPRaG,capex/cap,0.58,0.64,0.0441,0.006818
lgN3vR5,ebit/cap,0.4,0.24,0.0463,0.002018
bxKdrXN,ebitda/cap,0.61,0.53,0.0464,0.004107
WYxAaPN,equity/cap,0.91,0.78,0.0482,0.003815
O62GEAR,enterprise_value/cap,0.39,0.27,0.0553,0.002245
pWpNoxg,eps/cap,0.11,0.04,0.0657,0.000397
O6LgbOd,debt_lt/cap,0.71,0.69,0.0444,0.00537
O62ZWEY,assets_curr/cap,0.7,0.62,0.0507,0.003856
R5OPvKe,goodwill/cap,0.52,0.38,0.0453,0.002993
0GaEVM8,cash/cap,0.32,0.19,0.0565,0.001557
r0qnYr1,income/cap,-0.14,-0.06,0.0682,-0.00064
7G52b5Q,revenue/cap,1.06,1.1,0.0425,0.006356
MgE2Gbo,cogs/cap,1.07,1.09,0.0429,0.006028
QWxoY5w,cashflow_op/cap,0.83,0.77,0.0439,0.004844
zALmGOX,bookvalue_ps/cap,0.25,0.12,0.0474,0.001258
Emj2zqm,ppent/cap,0.74,0.75,0.0494,0.005226
6GW2677,operating_expense/cap,0.97,0.96,0.0448,0.005452
Emj29kK,inventory/cap,0.68,0.51,0.0446,0.003116
R5v1390,cashflow/cap,-0.64,-0.4,0.0446,-0.002242
O6Ljpev,sga_expense/cap,0.62,0.54,0.0505,0.003717
d9PR8vj,debt_st/cap,-0.07,-0.02,0.0488,-0.000251
5G2kZEn,cash_st/cap,0.52,0.34,0.0476,0.002304
YlVOaQM,receivable/cap,1.81,2.09,0.0418,0.007969
KVopZQx,return_equity/cap,-0.05,-0.01,0.0856,-0.00021
e1YPZpd,retained_earnings/cap,0.23,0.12,0.0562,0.001141
ZX89O63,fnd6_fopo/cap,-0.03,-0.01,0.0464,-0.000206
8G0xbwo,income_tax/cap,-0.2,-0.08,0.0653,-0.000657
zAxnzXK,liabilities_curr/cap,0.75,0.65,0.0469,0.004059
5Gmd9Nn,pretax_income/cap,-0.08,-0.02,0.0667,-0.000364
xlLpmZg,cashflow_fin/cap,-0.2,-0.08,0.043,-0.000939
5GmdvYX,income_beforeextra/cap,-0.07,-0.02,0.0681,-0.000342
QWxp3Pr,current_ratio/cap,-0.35,-0.22,0.0582,-0.0017
bxm0GZZ,sales_growth/cap,0.35,0.31,0.0954,0.002079
0GVZ0E1,return_assets/cap,0.5,0.45,0.0768,0.002622
xlL7Mom,inventory_turnover/cap,-0.65,-0.6,0.0617,-0.003414
vYE7epG,sales_ps/cap,1.08,1.0,0.038,0.005693
GQ2jLd5,cashflow_dividends/cap,0.57,0.36,0.0361,0.002736
vYE7j3G,invested_capital/cap,0.79,0.77,0.0478,0.004976
n6jGALl,fnd6_drlt/cap,0.5,0.34,0.0327,0.003536
8G0WJY7,cashflow_invst/cap,-0.53,-0.37,0.0422,-0.002929
2G2p106,employee/cap,0.81,0.81,0.0458,0.005402
WYZr5YQ,working_capital/cap,0.47,0.31,0.052,0.002102
3G2e7r0,depre_amort/cap,0.6,0.57,0.0496,0.004492
zAxxX38,fnd6_ivaco/cap,0.91,0.72,0.041,0.003786
xlLLzbW,fnd6_drc/cap,0.4,0.24,0.0388,0.002401
QWxxQ7g,fnd6_mrcta/cap,1.04,1.33,0.0468,0.00871
L8vvdlM,fnd6_fatl/cap,0.65,0.64,0.0488,0.004953
7G55N18,rd_expense/cap,-0.29,-0.23,0.1138,-0.001421
